birth,death,dim
0.000000000000000000e+00,2.711787521839141846e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.769209742546081543e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.903375029563903809e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.919260561466217041e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.938272356986999512e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.997958660125732422e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.103530108928680420e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.136741518974304199e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.167273104190826416e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.266005516052246094e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.279013931751251221e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.305824995040893555e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.331345021724700928e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.342650532722473145e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.525088727474212646e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.533731102943420410e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.555472493171691895e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.739767074584960938e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.900862336158752441e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.098714888095855713e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.115766584873199463e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.207784533500671387e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.607422351837158203e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.683851599693298340e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.724024534225463867e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.779663383960723877e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.824470877647399902e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.940019845962524414e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.038686394691467285e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.255502462387084961e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.426158308982849121e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.701788663864135742e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.746140480041503906e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.746732354164123535e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.788774490356445312e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.853255987167358398e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.907272100448608398e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.152521967887878418e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.191951632499694824e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.197234392166137695e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.239660978317260742e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.340457797050476074e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.403692364692687988e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.454911231994628906e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.559322476387023926e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.660286784172058105e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.714957356452941895e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.771128177642822266e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.806391477584838867e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.198101878166198730e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.253800630569458008e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.342376708984375000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.351152896881103516e-01,0.000000000000000000e+00
